,Location,value
0,WARRIGAL_RD N of HIGH STREET_RD,86
19,WARRIGAL_RD N of HIGH STREET_RD,83
38,WARRIGAL_RD N of HIGH STREET_RD,52
57,WARRIGAL_RD N of HIGH STREET_RD,58
76,WARRIGAL_RD N of HIGH STREET_RD,59
95,WARRIGAL_RD N of HIGH STREET_RD,44
114,WARRIGAL_RD N of HIGH STREET_RD,31
133,WARRIGAL_RD N of HIGH STREET_RD,37
152,WARRIGAL_RD N of HIGH STREET_RD,30
171,WARRIGAL_RD N of HIGH STREET_RD,24
190,WARRIGAL_RD N of HIGH STREET_RD,16
209,WARRIGAL_RD N of HIGH STREET_RD,24
228,WARRIGAL_RD N of HIGH STREET_RD,25
247,WARRIGAL_RD N of HIGH STREET_RD,25
266,WARRIGAL_RD N of HIGH STREET_RD,15
285,WARRIGAL_RD N of HIGH STREET_RD,6
304,WARRIGAL_RD N of HIGH STREET_RD,21
323,WARRIGAL_RD N of HIGH STREET_RD,17
342,WARRIGAL_RD N of HIGH STREET_RD,15
361,WARRIGAL_RD N of HIGH STREET_RD,15
380,WARRIGAL_RD N of HIGH STREET_RD,16
399,WARRIGAL_RD N of HIGH STREET_RD,21
418,WARRIGAL_RD N of HIGH STREET_RD,27
437,WARRIGAL_RD N of HIGH STREET_RD,21
456,WARRIGAL_RD N of HIGH STREET_RD,25
475,WARRIGAL_RD N of HIGH STREET_RD,32
494,WARRIGAL_RD N of HIGH STREET_RD,61
513,WARRIGAL_RD N of HIGH STREET_RD,48
532,WARRIGAL_RD N of HIGH STREET_RD,56
551,WARRIGAL_RD N of HIGH STREET_RD,66
570,WARRIGAL_RD N of HIGH STREET_RD,77
589,WARRIGAL_RD N of HIGH STREET_RD,79
608,WARRIGAL_RD N of HIGH STREET_RD,67
627,WARRIGAL_RD N of HIGH STREET_RD,93
646,WARRIGAL_RD N of HIGH STREET_RD,103
665,WARRIGAL_RD N of HIGH STREET_RD,130
684,WARRIGAL_RD N of HIGH STREET_RD,154
703,WARRIGAL_RD N of HIGH STREET_RD,149
722,WARRIGAL_RD N of HIGH STREET_RD,210
741,WARRIGAL_RD N of HIGH STREET_RD,229
760,WARRIGAL_RD N of HIGH STREET_RD,250
779,WARRIGAL_RD N of HIGH STREET_RD,246
798,WARRIGAL_RD N of HIGH STREET_RD,266
817,WARRIGAL_RD N of HIGH STREET_RD,254
