,Location,value
11,HIGH STREET_RD E of WARRIGAL_RD,37
23,HIGH STREET_RD E of WARRIGAL_RD,30
35,HIGH STREET_RD E of WARRIGAL_RD,26
47,HIGH STREET_RD E of WARRIGAL_RD,29
59,HIGH STREET_RD E of WARRIGAL_RD,14
71,HIGH STREET_RD E of WARRIGAL_RD,20
83,HIGH STREET_RD E of WARRIGAL_RD,14
95,HIGH STREET_RD E of WARRIGAL_RD,10
107,HIGH STREET_RD E of WARRIGAL_RD,10
119,HIGH STREET_RD E of WARRIGAL_RD,8
131,HIGH STREET_RD E of WARRIGAL_RD,10
143,HIGH STREET_RD E of WARRIGAL_RD,7
155,HIGH STREET_RD E of WARRIGAL_RD,5
167,HIGH STREET_RD E of WARRIGAL_RD,14
179,HIGH STREET_RD E of WARRIGAL_RD,6
191,HIGH STREET_RD E of WARRIGAL_RD,10
203,HIGH STREET_RD E of WARRIGAL_RD,10
215,HIGH STREET_RD E of WARRIGAL_RD,6
227,HIGH STREET_RD E of WARRIGAL_RD,8
239,HIGH STREET_RD E of WARRIGAL_RD,7
251,HIGH STREET_RD E of WARRIGAL_RD,8
263,HIGH STREET_RD E of WARRIGAL_RD,4
275,HIGH STREET_RD E of WARRIGAL_RD,13
287,HIGH STREET_RD E of WARRIGAL_RD,14
299,HIGH STREET_RD E of WARRIGAL_RD,14
311,HIGH STREET_RD E of WARRIGAL_RD,16
323,HIGH STREET_RD E of WARRIGAL_RD,36
335,HIGH STREET_RD E of WARRIGAL_RD,22
347,HIGH STREET_RD E of WARRIGAL_RD,27
359,HIGH STREET_RD E of WARRIGAL_RD,21
371,HIGH STREET_RD E of WARRIGAL_RD,38
383,HIGH STREET_RD E of WARRIGAL_RD,53
395,HIGH STREET_RD E of WARRIGAL_RD,37
407,HIGH STREET_RD E of WARRIGAL_RD,46
419,HIGH STREET_RD E of WARRIGAL_RD,74
431,HIGH STREET_RD E of WARRIGAL_RD,69
443,HIGH STREET_RD E of WARRIGAL_RD,67
455,HIGH STREET_RD E of WARRIGAL_RD,73
467,HIGH STREET_RD E of WARRIGAL_RD,133
479,HIGH STREET_RD E of WARRIGAL_RD,117
491,HIGH STREET_RD E of WARRIGAL_RD,121
503,HIGH STREET_RD E of WARRIGAL_RD,129
515,HIGH STREET_RD E of WARRIGAL_RD,142
527,HIGH STREET_RD E of WARRIGAL_RD,112
539,HIGH STREET_RD E of WARRIGAL_RD,129
551,HIGH STREET_RD E of WARRIGAL_RD,164
563,HIGH STREET_RD E of WARRIGAL_RD,130
575,HIGH STREET_RD E of WARRIGAL_RD,139
587,HIGH STREET_RD E of WARRIGAL_RD,163
599,HIGH STREET_RD E of WARRIGAL_RD,141
611,HIGH STREET_RD E of WARRIGAL_RD,152
623,HIGH STREET_RD E of WARRIGAL_RD,149
635,HIGH STREET_RD E of WARRIGAL_RD,134
647,HIGH STREET_RD E of WARRIGAL_RD,155
659,HIGH STREET_RD E of WARRIGAL_RD,118
671,HIGH STREET_RD E of WARRIGAL_RD,124
683,HIGH STREET_RD E of WARRIGAL_RD,132
695,HIGH STREET_RD E of WARRIGAL_RD,108
707,HIGH STREET_RD E of WARRIGAL_RD,143
719,HIGH STREET_RD E of WARRIGAL_RD,122
731,HIGH STREET_RD E of WARRIGAL_RD,127
743,HIGH STREET_RD E of WARRIGAL_RD,126
755,HIGH STREET_RD E of WARRIGAL_RD,114
767,HIGH STREET_RD E of WARRIGAL_RD,121
779,HIGH STREET_RD E of WARRIGAL_RD,134
791,HIGH STREET_RD E of WARRIGAL_RD,140
803,HIGH STREET_RD E of WARRIGAL_RD,116
815,HIGH STREET_RD E of WARRIGAL_RD,146
827,HIGH STREET_RD E of WARRIGAL_RD,124
839,HIGH STREET_RD E of WARRIGAL_RD,157
851,HIGH STREET_RD E of WARRIGAL_RD,136
863,HIGH STREET_RD E of WARRIGAL_RD,153
875,HIGH STREET_RD E of WARRIGAL_RD,133
887,HIGH STREET_RD E of WARRIGAL_RD,138
899,HIGH STREET_RD E of WARRIGAL_RD,109
911,HIGH STREET_RD E of WARRIGAL_RD,96
923,HIGH STREET_RD E of WARRIGAL_RD,100
935,HIGH STREET_RD E of WARRIGAL_RD,62
