SCATS,Location,Latitude,Longitude
0970,HIGH STREET_RD E of WARRIGAL_RD,-37.86579,145.092808
2000,BURWOOD_HWY E of WARRIGAL_RD,-37.850386,145.095612
2200,MAROONDAH_HWY E of UNION_RD,-37.815024,145.09938
2820,EARL_ST SE of PRINCESS_ST,-37.792993,145.031548
2825,BURKE_RD S of EASTERN_FWY,-37.792993,145.031548
2827,BULLEEN_RD N of THOMPSONS_RD,-37.779598,145.078582
3001,BARKERS_RD E of HIGH_ST,-37.813133,145.02351
3002,BARKERS_RD E of DENMARK_ST,-37.813651,145.027887
3120,BURKE_RD N of CANTERBURY_RD,-37.82139,145.058593
3122,CANTERBURY_RD E of STANHOPE_GV,-37.822283,145.065691
3126,CANTERBURY_RD E of WARRIGAL_RD,-37.826277,145.099918
3127,BALWYN_RD N of CANTERBURY_RD,-37.823776,145.079243
3180,BALWYN_RD S of DONCASTER_RD,-37.794656,145.084873
3662,HIGH_ST NE of PRINCESS_ST,-37.807429,145.028923
3682,WARRIGAL_RD S OF RIVERSDALE_RD,-37.835979,145.09821
3685,HIGHBURY_RD E of WARRIGAL_RD,-37.853347,145.095147
3804,TRAFALGAR_RD S of RIVERSDALE_RD,-37.832169,145.063687
3812,CAMBERWELL_RD NW of TRAFALGAR_RD,-37.83603,145.062205
4030,KILBY_RD W of BURKE_RD,-37.793416,145.064039
4032,BELMORE_RD E of BURKE_RD,-37.80079,145.062519
4034,WHITEHORSE_RD E OF BURKE_RD,-37.810374,145.060687
4035,BARKERS_RD W of BURKE_RD,-37.817373,145.059356
4040,RIVERSDALE_RD W of BURKE_RD,-37.831353,145.056691
4043,BURKE_RD N of TOORAK_RD,-37.845697,145.053974
4051,SEVERN_ST S of DONCASTER_RD,-37.792605,145.070485
4057,BALWYN_RD N OF BELMORE_RD,-37.803491,145.08314
4063,WHITEHORSE_RD W OF BALWYN_RD,-37.812842,145.081329
4262,BRIDGE_RD SW of BURWOOD_RD,-37.820011,145.015846
4263,BURWOOD_RD E of POWER_ST,-37.821545,145.026395
4264,GLENFERRIE_RD S of BURWOOD_RD,-37.822609,145.035352
4266,AUBURN_RD N of BURWOOD_RD,-37.823736,145.044805
4270,RIVERSDALE_RD W of GLENFERRIE_RD,-37.828742,145.034213
4272,RIVERSDALE_RD E of TOORONGA_RD,-37.830325,145.047697
4273,TOORONGA_RD N of TOORAK_RD,-37.845437,145.044979
4321,HARP_RD E OF HIGH_ST,-37.799369,145.050695
4324,GLENFERRIE_RD S OF COTHAM_RD,-37.807715,145.038152
4821,BURNLEY_ST S OF VICTORIA_ST,-37.811522,145.009783
